Ticker,Code,Name,Sector,SubIndustry,SWL1,SWL3,AvgAmtQian,LatestDate
300308.SZ,300308,中际旭创,通信,通信网络设备及器件,760r,760r0201,33748004.0,20260618
300502.SZ,300502,新易盛,通信,通信网络设备及器件,760r,760r0201,27645947.0,20260618
603986.SH,603986,兆易创新,电子,数字芯片设计,7605,76050103,23660763.0,20260618
600487.SH,600487,亨通光电,通信,通信线缆及配套,760r,760r0202,22614758.0,20260618
002384.SZ,002384,东山精密,电子,印制电路板,7605,76050201,19639118.0,20260618
688256.SH,688256,寒武纪,电子,数字芯片设计,7605,76050103,18927037.0,20260618
000725.SZ,000725,京东方A,电子,面板,7605,76050301,18292012.0,20260618
600522.SH,600522,中天科技,通信,通信线缆及配套,760r,760r0202,16562615.0,20260618
300394.SZ,300394,天孚通信,通信,通信网络设备及器件,760r,760r0201,16019414.0,20260618
600183.SH,600183,生益科技,电子,印制电路板,7605,76050201,14704532.0,20260618
688525.SH,688525,佰维存储,电子,数字芯片设计,7605,76050103,14486933.0,20260618
688008.SH,688008,澜起科技,电子,数字芯片设计,7605,76050103,14430476.0,20260618
601138.SH,601138,工业富联,电子,消费电子零部件及组装,7605,76050502,14402489.0,20260618
600584.SH,600584,长电科技,电子,集成电路封测,7605,76050106,14132373.0,20260618
688041.SH,688041,海光信息,电子,数字芯片设计,7605,76050103,13491109.0,20260618
300476.SZ,300476,胜宏科技,电子,印制电路板,7605,76050201,13321293.0,20260618
300750.SZ,300750,宁德时代,电力设备,锂电池,760m,760m0501,12732975.0,20260618
002463.SZ,002463,沪电股份,电子,印制电路板,7605,76050201,12619342.0,20260618
000636.SZ,000636,风华高科,电子,被动元件,7605,76050202,11302815.0,20260618
600498.SH,600498,烽火通信,通信,通信网络设备及器件,760r,760r0201,11121719.0,20260618
300136.SZ,300136,信维通信,电子,消费电子零部件及组装,7605,76050502,10896453.0,20260618
601899.SH,601899,紫金矿业,有色金属,铜,7604,76040202,10893071.0,20260618
000988.SZ,000988,华工科技,机械设备,激光设备,760n,760n0503,10884334.0,20260618
688981.SH,688981,中芯国际,电子,集成电路制造,7605,76050105,10879219.0,20260618
002281.SZ,002281,光迅科技,通信,通信网络设备及器件,760r,760r0201,10617263.0,20260618
002475.SZ,002475,立讯精密,电子,消费电子零部件及组装,7605,76050502,10457147.0,20260618
300408.SZ,300408,三环集团,电子,被动元件,7605,76050202,10372931.0,20260618
002428.SZ,002428,云南锗业,有色金属,其他小金属,7604,76040403,10246902.0,20260618
300285.SZ,300285,国瓷材料,电子,电子化学品,7605,76050601,10026760.0,20260618
000657.SZ,000657,中钨高新,有色金属,钨,7604,76040402,10023310.0,20260618
301308.SZ,301308,江波龙,电子,数字芯片设计,7605,76050103,9797916.0,20260618
300274.SZ,300274,阳光电源,电力设备,逆变器,760m,760m0303,9680975.0,20260618
300433.SZ,300433,蓝思科技,电子,消费电子零部件及组装,7605,76050502,9662274.0,20260618
600176.SH,600176,中国巨石,建筑材料,玻纤制造,760k,760k0202,9259014.0,20260618
