Ticker,Code,Name,Industry,Sector
513090.SH,513090.SH,香港证券ETF易方达,中证香港证券投资主题指数收益率(使用估值汇率折算),中证香港证券投资主题指数收益率(使用估值汇率折算)
510300.SH,510300.SH,沪深300ETF华泰柏瑞,沪深300指数,沪深300指数
510500.SH,510500.SH,中证500ETF南方,中证500指数,中证500指数
588000.SH,588000.SH,科创50ETF华夏,上证科创板50成份指数收益率,上证科创板50成份指数收益率
159915.SZ,159915.SZ,创业板ETF易方达,创业板指数,创业板指数
513130.SH,513130.SH,恒生科技ETF华泰柏瑞,恒生科技指数收益率(使用估值汇率折算),恒生科技指数收益率(使用估值汇率折算)
513120.SH,513120.SH,港股创新药ETF广发,中证香港创新药指数收益率(人民币计价),中证香港创新药指数收益率(人民币计价)
588200.SH,588200.SH,科创芯片ETF嘉实,上证科创板芯片指数收益率,上证科创板芯片指数收益率
510050.SH,510050.SH,上证50ETF华夏,上证50指数,上证50指数
512100.SH,512100.SH,中证1000ETF南方,中证1000指数,中证1000指数
513330.SH,513330.SH,恒生互联网ETF华夏,恒生互联网科技业指数收益率(使用估值汇率折算),恒生互联网科技业指数收益率(使用估值汇率折算)
515880.SH,515880.SH,通信ETF国泰,中证全指通信设备指数收益率,中证全指通信设备指数收益率
512880.SH,512880.SH,证券ETF国泰,中证全指证券公司指数收益率,中证全指证券公司指数收益率
159516.SZ,159516.SZ,半导体设备ETF国泰,中证半导体材料设备主题指数收益率,中证半导体材料设备主题指数收益率
159949.SZ,159949.SZ,创业板50ETF华安,创业板50指数收益率,创业板50指数收益率
512400.SH,512400.SH,有色金属ETF南方,中证申万有色金属指数收益率,中证申万有色金属指数收益率
159206.SZ,159206.SZ,卫星ETF永赢,—,—
159326.SZ,159326.SZ,电网设备ETF华夏,—,—
588170.SH,588170.SH,科创半导体ETF华夏,—,—
513750.SH,513750.SH,港股通非银ETF广发,中证港股通非银行金融主题指数收益率,中证港股通非银行金融主题指数收益率
159870.SZ,159870.SZ,化工ETF鹏华,中证细分化工产业主题指数收益率,中证细分化工产业主题指数收益率
562500.SH,562500.SH,机器人ETF华夏,中证机器人指数收益率,中证机器人指数收益率
159363.SZ,159363.SZ,创业板人工智能ETF华宝,—,—
515220.SH,515220.SH,煤炭ETF国泰,中证煤炭指数收益率,中证煤炭指数收益率
159892.SZ,159892.SZ,恒生医药ETF华夏,恒生香港上市生物科技指数收益率(使用估值汇率折算),恒生香港上市生物科技指数收益率(使用估值汇率折算)
512690.SH,512690.SH,酒ETF鹏华,中证酒指数收益率,中证酒指数收益率
512800.SH,512800.SH,银行ETF华宝,中证银行指数,中证银行指数
159755.SZ,159755.SZ,电池ETF广发,国证新能源车电池指数收益率,国证新能源车电池指数收益率
159819.SZ,159819.SZ,人工智能ETF易方达,中证人工智能主题指数收益率,中证人工智能主题指数收益率
513980.SH,513980.SH,港股科技ETF景顺,中证港股通科技指数收益率(使用估值汇率折算),中证港股通科技指数收益率(使用估值汇率折算)
159852.SZ,159852.SZ,软件ETF嘉实,中证软件服务指数收益率,中证软件服务指数收益率
159992.SZ,159992.SZ,创新药ETF银华,中证创新药产业指数,中证创新药产业指数
512170.SH,512170.SH,医疗ETF华宝,中证医疗指数收益率,中证医疗指数收益率
517520.SH,517520.SH,黄金股ETF永赢,中证沪深港黄金产业股票指数收益率,中证沪深港黄金产业股票指数收益率
159869.SZ,159869.SZ,游戏ETF华夏,中证动漫游戏指数收益率,中证动漫游戏指数收益率
560860.SH,560860.SH,工业有色ETF万家,中证工业有色金属主题指数收益率,中证工业有色金属主题指数收益率
515790.SH,515790.SH,光伏ETF华泰柏瑞,中证光伏产业指数收益率,中证光伏产业指数收益率
588220.SH,588220.SH,科创100ETF鹏华,上证科创板100指数收益率,上证科创板100指数收益率
510880.SH,510880.SH,红利ETF华泰柏瑞,上证红利指数,上证红利指数
