Ticker,Code,Name,Industry,Sector
AGIX.US,AGIX,KraneShares Public-Private AI &,AI (Public-Private),AI (Public-Private)
DBA.US,DBA,Invesco DB Agriculture Fund,Agriculture,Agriculture
VEGI.US,VEGI,iShares MSCI Agriculture Produc,Agriculture,Agriculture
IBLC.US,IBLC,iShares Blockchain and Tech ETF,Blockchain,Blockchain
VTI.US,VTI,Vanguard Total Stock Market Index Fu,CRSP US Total Market,CRSP US Total Market
YANG.US,YANG,Direxion Daily FTSE China Bear ,China 3x Inverse,China 3x Inverse
YINN.US,YINN,Direxion Daily FTSE China Bull ,China 3x Leveraged,China 3x Leveraged
CWEB.US,CWEB,Direxion Daily CSI China Intern,China Internet 2x (Leveraged),China Internet 2x (Leveraged)
XRT.US,XRT,SPDR® S&P Retail ETF,Consumer Cyclical,Consumer Cyclical
XHB.US,XHB,SPDR® S&P Homebuilders ETF,Consumer Cyclical,Consumer Cyclical
ITB.US,ITB,iShares U.S. Home Construction ETF,Consumer Cyclical,Consumer Cyclical
ICOP.US,ICOP,iShares Copper and Metals Minin,Copper/Metals Mining,Copper/Metals Mining
JEPQ.US,JEPQ,JPMorgan Nasdaq Equity Premium Incom,Derivative Income,Derivative Income
QQQI.US,QQQI,NEOS Nasdaq 100 High Income ETF,Derivative Income,Derivative Income
JEPI.US,JEPI,JPMorgan Equity Premium Income ETF,Derivative Income,Derivative Income
IBIT.US,IBIT,iShares Bitcoin Trust,Digital Assets,Digital Assets
BITO.US,BITO,ProShares Bitcoin Strategy ETF,Digital Assets,Digital Assets
ETHA.US,ETHA,iShares Ethereum Trust ETF,Digital Assets,Digital Assets
FBTC.US,FBTC,Fidelity Wise Origin Bitcoin Trust,Digital Assets,Digital Assets
CGDV.US,CGDV,Capital Group Dividend Value ETF,Dividend,Dividend
DIA.US,DIA,SPDR Dow Jones Industrial Average ET,Dow Jones Industrial Average,Dow Jones Industrial Average
SCHB.US,SCHB,Schwab U.S. Broad Market ETF,Dow Jones US Broad Market,Dow Jones US Broad Market
SCHD.US,SCHD,Schwab U.S. Dividend Equity ETF,Dow Jones US Dividend 100,Dow Jones US Dividend 100
IBAT.US,IBAT,iShares Energy Storage & Materi,Energy Storage,Energy Storage
FXN.US,FXN,First Trust Energy AlphaDEX® Fund,Equity Energy,Equity Energy
FTXN.US,FTXN,First Trust Nasdaq Oil & Gas ETF,Equity Energy,Equity Energy
XOP.US,XOP,SPDR® S&P Oil & Gas Exploration & Pr,Equity Energy,Equity Energy
OIH.US,OIH,VanEck Oil Services ETF,Equity Energy,Equity Energy
IXC.US,IXC,iShares Global Energy ETF,Equity Energy,Equity Energy
VGK.US,VGK,Vanguard FTSE Europe Index Fund ETF ,Europe Stock,Europe Stock
XT.US,XT,iShares Future Exponential Tech,Exponential Tech,Exponential Tech
VEA.US,VEA,Vanguard FTSE Developed Markets Inde,FTSE Developed,FTSE Developed
VWO.US,VWO,Vanguard FTSE Emerging Markets Index,FTSE Emerging,FTSE Emerging
VYM.US,VYM,Vanguard High Dividend Yield Index F,FTSE High Dividend Yield,FTSE High Dividend Yield
KRE.US,KRE,SPDR® S&P Regional Banking ETF,Financial,Financial
KBWB.US,KBWB,Invesco KBW Bank ETF,Financial,Financial
EWY.US,EWY,iShares MSCI South Korea ETF,Focused Region,Focused Region
EWZ.US,EWZ,iShares MSCI Brazil ETF,Focused Region,Focused Region
VXUS.US,VXUS,Vanguard Total International Stock I,Foreign Large Blend,Foreign Large Blend
SCHF.US,SCHF,Schwab International Equity ETF,Foreign Large Blend,Foreign Large Blend
VEU.US,VEU,Vanguard FTSE All-World ex-US Index ,Foreign Large Blend,Foreign Large Blend
IXUS.US,IXUS,iShares Core MSCI Total Internationa,Foreign Large Blend,Foreign Large Blend
SPDW.US,SPDW,State Street SPDR Portfolio Develope,Foreign Large Blend,Foreign Large Blend
VT.US,VT,Vanguard Total World Stock Index Fun,Global Large-Stock Blend,Global Large-Stock Blend
URTH.US,URTH,iShares MSCI World ETF,Global Large-Stock Blend,Global Large-Stock Blend
SPGM.US,SPGM,SPDR Portfolio MSCI Global Stock Mar,Global Large-Stock Blend,Global Large-Stock Blend
GLD.US,GLD,SPDR® Gold Shares,Gold,Gold
GDX.US,GDX,VanEck Gold Miners ETF,Gold Miners,Gold Miners
NUGT.US,NUGT,Direxion Daily Gold Miners Inde,Gold Miners 3x,Gold Miners 3x
EWT.US,EWT,iShares MSCI Taiwan ETF,Greater China Region,Greater China Region
FXI.US,FXI,iShares China Large-Cap ETF,Greater China Region,Greater China Region
KWEB.US,KWEB,KraneShares CSI China Internet ETF,Greater China Region,Greater China Region
MCHI.US,MCHI,iShares MSCI China ETF,Greater China Region,Greater China Region
ASHR.US,ASHR,Xtrackers Harvest CSI 300 China A-Sh,Greater China Region,Greater China Region
XBI.US,XBI,SPDR® S&P Biotech ETF,Health,Health
