ticker_raw,name_cn,sub_industry,gics_sector,hs_sector,code
5 HK,汇丰控股,香港银行,Financials,金融业,0005.HK
2388 HK,中银香港,香港银行,Financials,金融业,2388.HK
2888 HK,渣打集团,香港银行,Financials,金融业,2888.HK
939 HK,建设银行,中国银行,Financials,金融业,0939.HK
1398 HK,工商银行,中国银行,Financials,金融业,1398.HK
3988 HK,中国银行,中国银行,Financials,金融业,3988.HK
3968 HK,招商银行,中国银行,Financials,金融业,3968.HK
1288 HK,农业银行,中国银行,Financials,金融业,1288.HK
998 HK,中信银行,中国银行,Financials,金融业,0998.HK
1658 HK,邮储银行,中国银行,Financials,金融业,1658.HK
3618 HK,重庆农村商业银行,中国银行,Financials,金融业,3618.HK
2318 HK,中国平安,保险,Financials,金融业,2318.HK
1299 HK,友邦保险,保险,Financials,金融业,1299.HK
2628 HK,中国人寿,保险,Financials,金融业,2628.HK
2601 HK,中国太保,保险,Financials,金融业,2601.HK
1336 HK,新华保险,保险,Financials,金融业,1336.HK
2328 HK,中国财险,保险,Financials,金融业,2328.HK
1339 HK,中国人民保险集团,保险,Financials,金融业,1339.HK
966 HK,中国太平,保险,Financials,金融业,0966.HK
388 HK,香港交易所,其他非银,Financials,金融业,0388.HK
6030 HK,中信证券,其他非银,Financials,金融业,6030.HK
6881 HK,中国银河,其他非银,Financials,金融业,6881.HK
3908 HK,中金公司,其他非银,Financials,金融业,3908.HK
2611 HK,国泰海通,其他非银,Financials,金融业,2611.HK
6886 HK,华泰证券,其他非银,Financials,金融业,6886.HK
1776 HK,广发证券,其他非银,Financials,金融业,1776.HK
6099 HK,招商证券,其他非银,Financials,金融业,6099.HK
6066 HK,中信建投证券,其他非银,Financials,金融业,6066.HK
6060 HK,众安在线,其他非银,Financials,金融业,6060.HK
FUTU US,富途控股,其他非银,Financials,金融业,
857 HK,中国石油股份,能源,Energy,能源业,0857.HK
386 HK,中国石油化工股份,能源,Energy,能源业,0386.HK
883 HK,中国海洋石油,能源,Energy,能源业,0883.HK
2883 HK,中海油田服务,能源,Energy,能源业,2883.HK
1088 HK,中国神华,能源,Energy,能源业,1088.HK
1171 HK,兖矿能源,能源,Energy,能源业,1171.HK
1898 HK,中煤能源,能源,Energy,能源业,1898.HK
3668 HK,兖煤澳大利亚,能源,Energy,能源业,3668.HK
1164 HK,中广核矿业,能源,Energy,能源业,1164.HK
1109 HK,华润置地,中国地产&物管,Real Estate,地产建筑业,1109.HK
688 HK,中国海外发展,中国地产&物管,Real Estate,地产建筑业,0688.HK
960 HK,龙湖集团,中国地产&物管,Real Estate,地产建筑业,0960.HK
1908 HK,建发国际集团,中国地产&物管,Real Estate,地产建筑业,1908.HK
817 HK,中国金茂,中国地产&物管,Real Estate,地产建筑业,0817.HK
1209 HK,华润万象生活,中国地产&物管,Real Estate,地产建筑业,1209.HK
2869 HK,绿城服务,中国地产&物管,Real Estate,地产建筑业,2869.HK
2202 HK,万科企业,中国地产&物管,Real Estate,地产建筑业,2202.HK
3900 HK,绿城中国,中国地产&物管,Real Estate,地产建筑业,3900.HK
1918 HK,融创中国,中国地产&物管,Real Estate,地产建筑业,1918.HK
1030 HK,新城发展,中国地产&物管,Real Estate,地产建筑业,1030.HK
2423 HK,贝壳-W,中国地产&物管,Real Estate,地产建筑业,2423.HK
1972 HK,太古地产,香港地产,Real Estate,地产建筑业,1972.HK
101 HK,恒隆地产,香港地产,Real Estate,地产建筑业,0101.HK
83 HK,信和置业,香港地产,Real Estate,地产建筑业,0083.HK
