ticker_raw,name_cn,hs_sector,code
1 HK,长和,综合企业,0001.HK
2 HK,中电控股,公用事业,0002.HK
3 HK,香港中华煤气,公用事业,0003.HK
4 HK,九龙仓集团,综合企业,0004.HK
5 HK,汇丰控股,金融业,0005.HK
6 HK,电能实业,公用事业,0006.HK
8 HK,电讯盈科,电讯业,0008.HK
10 HK,恒隆集团,地产建筑业,0010.HK
11 HK,恒生银行,金融业,0011.HK
12 HK,恒基地产,地产建筑业,0012.HK
13 HK,和黄医药,医疗保健业,0013.HK
14 HK,希慎兴业,地产建筑业,0014.HK
16 HK,新鸿基地产,地产建筑业,0016.HK
17 HK,新世界发展,地产建筑业,0017.HK
19 HK,太古股份公司 A,综合企业,0019.HK
20 HK,商汤 - W,资讯科技业,0020.HK
23 HK,东亚银行,金融业,0023.HK
27 HK,银河娱乐,非必需性消费,0027.HK
41 HK,鹰君,地产建筑业,0041.HK
61 HK,中国外运航,工业,0061.HK
66 HK,港铁公司,工业,0066.HK
81 HK,中国海外宏洋集团,地产建筑业,0081.HK
83 HK,信和置业,地产建筑业,0083.HK
87 HK,太古股份公司 B,综合企业,0087.HK
101 HK,恒隆地产,地产建筑业,0101.HK
119 HK,保利置业集团,地产建筑业,0119.HK
123 HK,越秀地产,地产建筑业,0123.HK
124 HK,粤海投资,必需性消费,0124.HK
135 HK,昆仑能源,能源业,0135.HK
136 HK,中国儒意,非必需性消费,0136.HK
142 HK,第一太平,地产建筑业,0142.HK
144 HK,招商局港口,综合企业,0144.HK
148 HK,建滔集团,地产建筑业,0148.HK
151 HK,中国旺旺,必需性消费,0151.HK
152 HK,深圳国际,地产建筑业,0152.HK
165 HK,中国光大控股,金融业,0165.HK
168 HK,青岛啤酒股份,必需性消费,0168.HK
173 HK,嘉华国际,地产建筑业,0173.HK
175 HK,吉利汽车,非必需性消费,0175.HK
177 HK,江苏宁沪高速公路,工业,0177.HK
179 HK,德昌电机控股,工业,0179.HK
189 HK,东岳集团,原材料业,0189.HK
200 HK,新濠国际发展,非必需性消费,0200.HK
220 HK,统一企业中国,必需性消费,0220.HK
241 HK,阿里健康,医疗保健业,0241.HK
267 HK,中信股份,综合企业,0267.HK
268 HK,金蝶国际,资讯科技业,0268.HK
270 HK,海昌海洋公园,非必需性消费,0270.HK
272 HK,瑞安房地产,地产建筑业,0272.HK
285 HK,比亚迪电子,非必需性消费,0285.HK
288 HK,万洲国际,必需性消费,0288.HK
291 HK,华润啤酒,必需性消费,0291.HK
293 HK,国泰航空,工业,0293.HK
297 HK,中化化肥,原材料业,0297.HK
300 HK,美的集团,非必需性消费,0300.HK
303 HK,伟易达,工业,0303.HK
308 HK,香港中旅,非必需性消费,0308.HK
316 HK,东方海外国际,工业,0316.HK
317 HK,中船防务,工业,0317.HK
320 HK,金宝通,原材料业,0320.HK
322 HK,康师傅控股,必需性消费,0322.HK
325 HK,布鲁可,非必需性消费,0325.HK
327 HK,百富环球,工业,0327.HK
336 HK,华宝国际,必需性消费,0336.HK
345 HK,维他奶国际,必需性消费,0345.HK
354 HK,中国软件国际,资讯科技业,0354.HK
358 HK,江西铜业股份,原材料业,0358.HK
363 HK,上海实业控股,综合企业,0363.HK
371 HK,北控水务集团,公用事业,0371.HK
382 HK,威灵控股,能源业,0382.HK
384 HK,中国燃气,能源业,0384.HK
386 HK,中国石油化工股份,能源业,0386.HK
388 HK,香港交易所,金融业,0388.HK
390 HK,中国中铁,工业,0390.HK
392 HK,北京控股,综合企业,0392.HK
405 HK,越秀房产信托基金,地产建筑业,0405.HK
425 HK,敏实集团,原材料业,0425.HK
440 HK,大新金融,金融业,0440.HK
460 HK,四环医药,医疗保健业,0460.HK
467 HK,联合能源集团,能源业,0467.HK
489 HK,东风集团股份,非必需性消费,0489.HK
506 HK,中国食品,必需性消费,0506.HK
512 HK,远大医药,医疗保健业,0512.HK
522 HK,ASMPT,资讯科技业,0522.HK
546 HK,阜丰集团,必需性消费,0546.HK
551 HK,裕元集团,工业,0551.HK
552 HK,中国通信服务,电讯业,0552.HK
570 HK,中国中药,医疗保健业,0570.HK
576 HK,浙江沪杭甬,工业,0576.HK
586 HK,海螺创业,原材料业,0586.HK
590 HK,六福集团,非必需性消费,0590.HK
598 HK,中国外运,工业,0598.HK
604 HK,深圳控股,地产建筑业,0604.HK
626 HK,大众金融控股,金融业,0626.HK
631 HK,三一国际,工业,0631.HK
636 HK,KLN,金融业,0636.HK
639 HK,首钢资源,原材料业,0639.HK
656 HK,复星国际,综合企业,0656.HK
666 HK,瑞浦兰钧,工业,0666.HK
667 HK,中国东方教育,非必需性消费,0667.HK
669 HK,创科实业,工业,0669.HK
670 HK,中国东方航空股份,工业,0670.HK
681 HK,中国光大银行,金融业,0681.HK
683 HK,嘉里建设,地产建筑业,0683.HK
688 HK,中国海外发展,地产建筑业,0688.HK
694 HK,北京首都机场股份,工业,0694.HK
696 HK,中国民航信息网络,工业,0696.HK
697 HK,首程控股,工业,0697.HK
700 HK,腾讯控股,资讯科技业,0700.HK
722 HK,现代牧业,原材料业,0722.HK
728 HK,中国电信,电讯业,0728.HK
751 HK,创维集团,非必需性消费,0751.HK
753 HK,中国国航,工业,0753.HK
754 HK,合生创展集团,地产建筑业,0754.HK
762 HK,中国联通,资讯科技业,0762.HK
763 HK,中兴通讯,资讯科技业,0763.HK
772 HK,阅文集团,资讯科技业,0772.HK
777 HK,网龙,资讯科技业,0777.HK
778 HK,置富产业信托,地产建筑业,0778.HK
780 HK,同程旅行,非必需性消费,0780.HK
788 HK,中国铁塔,电讯业,0788.HK
809 HK,大成生化科技,原材料业,0809.HK
817 HK,中国金茂,地产建筑业,0817.HK
819 HK,天能动力,能源业,0819.HK
823 HK,领展房产基金,地产建筑业,0823.HK
826 HK,天工国际,原材料业,0826.HK
836 HK,华润电力,公用事业,0836.HK
853 HK,微创医疗,医疗保健业,0853.HK
855 HK,中国水务,公用事业,0855.HK
856 HK,伟仕佳杰,资讯科技业,0856.HK
857 HK,中国石油股份,能源业,0857.HK
