Ticker,Code,SalesGrowth,EarnGrowth,ROE
MU.US,MU,1.963,7.56,0.3982
SPCX.US,SPCX,0.154,,
NVDA.US,NVDA,0.852,2.145,1.1429
SNDK.US,SNDK,2.51,,0.393
TSLA.US,TSLA,0.158,0.083,0.049
INTC.US,INTC,0.072,,-0.0291
MRVL.US,MRVL,0.276,-0.804,0.1603
AMD.US,AMD,0.378,0.912,0.0806
AVGO.US,AVGO,0.479,0.854,0.3728
MSFT.US,MSFT,0.183,0.234,0.3401
AAPL.US,AAPL,0.166,0.218,1.4147
AMZN.US,AMZN,0.166,0.748,0.2429
META.US,META,0.331,0.624,0.3293
WDC.US,WDC,0.455,4.829,0.8592
GOOGL.US,GOOGL,0.218,0.82,0.3888
AMAT.US,AMAT,0.114,0.335,0.3969
GOOG.US,GOOG,0.218,0.82,0.3888
STX.US,STX,0.441,1.083,17.8797
ARM.US,ARM,0.201,0.479,0.1195
TSM.US,TSM,0.351,0.584,0.3621
NBIS.US,NBIS,6.839,,0.1414
LRCX.US,LRCX,0.238,0.408,0.6676
PLTR.US,PLTR,0.847,3.25,0.3259
ASML.US,ASML,0.132,0.192,0.5224
LITE.US,LITE,0.901,,0.2283
CRWV.US,CRWV,1.116,,-0.4067
HOOD.US,HOOD,0.151,0.027,0.2146
NFLX.US,NFLX,0.162,0.864,0.4849
GEV.US,GEV,0.163,18.165,0.7571
ORCL.US,ORCL,0.206,0.219,0.5338
KLAC.US,KLAC,0.115,0.118,0.9498
BE.US,BE,1.304,,0.0129
JPM.US,JPM,0.127,0.172,0.1647
QCOM.US,QCOM,-0.035,1.73,0.3608
APP.US,APP,0.59,1.131,2.6644
RKLB.US,RKLB,0.635,,-0.1355
DELL.US,DELL,0.875,2.825,
UNH.US,UNH,0.02,0.007,0.1218
CAT.US,CAT,0.222,0.302,0.5133
LLY.US,LLY,0.555,1.699,1.0746
BRK-B.US,BRK-B,0.044,1.196,0.105
XOM.US,XOM,0.026,-0.434,0.0987
WMT.US,WMT,0.073,0.194,0.2413
CRM.US,CRM,0.133,0.522,0.1691
NOW.US,NOW,0.221,0.023,0.1607
ASTS.US,ASTS,19.522,,-0.3775
GS.US,GS,0.145,0.242,0.1455
TXN.US,TXN,0.186,0.313,0.3235
SATS.US,SATS,-0.052,,-1.1228
V.US,V,0.171,0.355,0.6035
ALAB.US,ALAB,0.934,1.444,0.2111
CSCO.US,CSCO,0.12,0.371,0.2523
COHR.US,COHR,0.205,,0.0472
IREN.US,IREN,-0.0,,0.0773
GLW.US,GLW,0.2,1.389,0.1674
CRDO.US,CRDO,1.57,3.432,0.3441
AAL.US,AAL,0.108,,
AAOI.US,AAOI,0.514,,-0.0613
ROKU.US,ROKU,0.224,,0.0775
ADBE.US,ADBE,0.127,0.079,0.6295
MSTR.US,MSTR,0.119,,-0.3076
MA.US,MA,0.158,0.212,2.3208
PANW.US,PANW,0.311,,0.0483
SMCI.US,SMCI,1.227,3.26,0.1788
ADI.US,ADI,0.372,1.105,0.0964
C.US,C,0.159,0.561,0.0765
