ticker_raw,name_cn,gics_sector,code
175 HK,吉利汽车,,0175.HK
1585 HK,雅迪控股,,1585.HK
1211 HK,比亚迪股份,,1211.HK
9866 HK,蔚来-SW,,9866.HK
425 HK,敏实集团,,0425.HK
3606 HK,福耀玻璃,,3606.HK
9973 HK,奇瑞汽车,,9973.HK
2015 HK,理想汽车-W,,2015.HK
819 HK,天能动力,,0819.HK
1057 HK,浙江世宝,,1057.HK
9863 HK,零跑汽车,,9863.HK
3931 HK,中创新航,,3931.HK
2525 HK,禾赛-W,,2525.HK
699 HK,均胜电子,,0699.HK
800 HK,文远知行-W,,0800.HK
1316 HK,耐世特,,1316.HK
9868 HK,小鹏汽车-W,,9868.HK
2333 HK,长城汽车,,2333.HK
179 HK,德昌电机控股,,0179.HK
2889 HK,博泰车联,,2889.HK
2238 HK,广汽集团,,2238.HK
1114 HK,华晨中国,,1114.HK
2431 HK,佑驾创新,,2431.HK
9927 HK,赛力斯,,9927.HK
5 HK,汇丰控股,,0005.HK
2388 HK,中银香港,,2388.HK
2888 HK,渣打集团,,2888.HK
3988 HK,中国银行,,3988.HK
1398 HK,工商银行,,1398.HK
939 HK,建设银行,,0939.HK
3328 HK,交通银行,,3328.HK
3618 HK,重庆农村商业银行,,3618.HK
998 HK,中信银行,,0998.HK
23 HK,东亚银行,,0023.HK
1288 HK,农业银行,,1288.HK
1658 HK,邮储银行,,1658.HK
3968 HK,招商银行,,3968.HK
6818 HK,中国光大银行,,6818.HK
1988 HK,民生银行,,1988.HK
1377 HK,鼎泰高科,,1377.HK
3952 HK,来福谐波,,3952.HK
7687 HK,易控智驾,,7687.HK
6880 HK,MOMENTA-W,,6880.HK
1081 HK,大金重工,,1081.HK
470 HK,先导智能,,0470.HK
9981 HK,沃尔核材,,9981.HK
2715 HK,埃斯顿,,2715.HK
3200 HK,大族数控,,3200.HK
2692 HK,兆威机电,,2692.HK
2338 HK,潍柴动力,,2338.HK
1651 HK,津上机床中国,,1651.HK
3808 HK,中国重汽,,3808.HK
1286 HK,鹰普精密,,1286.HK
19 HK,太古股份公司A,,0019.HK
669 HK,创科实业,,0669.HK
1 HK,长和,,0001.HK
3750 HK,宁德时代,,3750.HK
868 HK,信义玻璃,,0868.HK
659 HK,周大福创建,,0659.HK
2588 HK,中银航空租赁,,2588.HK
38 HK,第一拖拉机股份,,0038.HK
3996 HK,中国能源建设,,3996.HK
1133 HK,哈尔滨电气,,1133.HK
267 HK,中信股份,,0267.HK
1157 HK,中联重科,,1157.HK
552 HK,中国通信服务,,0552.HK
656 HK,复星国际,,0656.HK
7618 HK,京东工业,,7618.HK
586 HK,海螺创业,,0586.HK
1186 HK,中国铁建,,1186.HK
390 HK,中国中铁,,0390.HK
3311 HK,中国建筑国际,,3311.HK
6680 HK,金力永磁,,6680.HK
1882 HK,海天国际,,1882.HK
6031 HK,三一重工,,6031.HK
1072 HK,东方电气,,1072.HK
631 HK,三一国际,,0631.HK
3898 HK,时代电气,,3898.HK
2128 HK,中国联塑,,2128.HK
1729 HK,汇聚科技,,1729.HK
317 HK,中船防务,,0317.HK
2866 HK,中远海发,,2866.HK
2727 HK,上海电气,,2727.HK
1766 HK,中国中车,,1766.HK
1618 HK,中国中冶,,1618.HK
2579 HK,中伟新材,,2579.HK
2039 HK,中集集团,,2039.HK
3881 HK,希迪智驾,,3881.HK
2208 HK,金风科技,,2208.HK
2357 HK,中航科工,,2357.HK
666 HK,瑞浦兰钧,,0666.HK
1800 HK,中国交通建设,,1800.HK
2507 HK,西锐,,2507.HK
9979 HK,绿城管理控股,,9979.HK
2050 HK,三花智控,,2050.HK
2432 HK,越疆,,2432.HK
3677 HK,正力新能,,3677.HK
9880 HK,优必选,,9880.HK
2402 HK,亿华通,,2402.HK
1799 HK,新特能源,,1799.HK
2590 HK,极智嘉-W,,2590.HK
2655 HK,果下科技,,2655.HK
1333 HK,博雷顿,,1333.HK
257 HK,光大环境,,0257.HK
2076 HK,BOSS直聘-W,,2076.HK
9690 HK,途虎-W,,9690.HK
9618 HK,京东集团-SW,,9618.HK
590 HK,六福集团,,0590.HK
1929 HK,周大福,,1929.HK
9992 HK,泡泡玛特,,9992.HK
9988 HK,阿里巴巴-W,,9988.HK
9896 HK,名创优品,,9896.HK
1880 HK,中国中免,,1880.HK
6055 HK,中烟香港,,6055.HK
6168 HK,周六福,,6168.HK
3669 HK,永达汽车,,3669.HK
6110 HK,滔搏,,6110.HK
881 HK,中升控股,,0881.HK
1268 HK,美东汽车,,1268.HK
1070 HK,TCL电子,,1070.HK
300 HK,美的集团,,0300.HK
3998 HK,波司登,,3998.HK
116 HK,周生生,,0116.HK
921 HK,海信家电,,0921.HK
1836 HK,九兴控股,,1836.HK
2020 HK,安踏体育,,2020.HK
1913 HK,普拉达,,1913.HK
551 HK,裕元集团,,0551.HK
1126 HK,德林国际,,1126.HK
6690 HK,海尔智家,,6690.HK
2331 HK,李宁,,2331.HK
1361 HK,361度,,1361.HK
1910 HK,新秀丽,,1910.HK
325 HK,布鲁可,,0325.HK
1691 HK,JS环球生活,,1691.HK
1368 HK,特步国际,,1368.HK
1999 HK,敏华控股,,1999.HK
6600 HK,卧安机器人,,6600.HK
2313 HK,申洲国际,,2313.HK
6181 HK,老铺黄金,,6181.HK
9869 HK,海伦司,,9869.HK
2589 HK,沪上阿姨,,2589.HK
1128 HK,永利澳门,,1128.HK
9987 HK,百胜中国,,9987.HK
9901 HK,新东方-S,,9901.HK
308 HK,香港中旅,,0308.HK
1179 HK,华住集团-S,,1179.HK
1364 HK,古茗,,1364.HK
696 HK,中国民航信息网络,,0696.HK
