code,name,sector
MMM.US,3M,Industrials
AOS.US,A. O. Smith,Industrials
ABT.US,Abbott Laboratories,Health Care
ABBV.US,AbbVie,Health Care
ACN.US,Accenture,Information Technology
ADBE.US,Adobe Inc.,Information Technology
AMD.US,Advanced Micro Devices,Information Technology
AES.US,AES Corporation,Utilities
AFL.US,Aflac,Financials
A.US,Agilent Technologies,Health Care
APD.US,Air Products,Materials
ABNB.US,Airbnb,Consumer Discretionary
AKAM.US,Akamai Technologies,Information Technology
ALB.US,Albemarle Corporation,Materials
ARE.US,Alexandria Real Estate Equities,Real Estate
ALGN.US,Align Technology,Health Care
ALLE.US,Allegion,Industrials
LNT.US,Alliant Energy,Utilities
ALL.US,Allstate,Financials
GOOGL.US,Alphabet Inc. (Class A),Communication Services
GOOG.US,Alphabet Inc. (Class C),Communication Services
MO.US,Altria,Consumer Staples
AMZN.US,Amazon,Consumer Discretionary
AMCR.US,Amcor,Materials
AEE.US,Ameren,Utilities
AEP.US,American Electric Power,Utilities
AXP.US,American Express,Financials
AIG.US,American International Group,Financials
AMT.US,American Tower,Real Estate
AWK.US,American Water Works,Utilities
AMP.US,Ameriprise Financial,Financials
AME.US,Ametek,Industrials
AMGN.US,Amgen,Health Care
APH.US,Amphenol,Information Technology
ADI.US,Analog Devices,Information Technology
AON.US,Aon plc,Financials
APA.US,APA Corporation,Energy
APO.US,Apollo Global Management,Financials
AAPL.US,Apple Inc.,Information Technology
AMAT.US,Applied Materials,Information Technology
APP.US,AppLovin,Information Technology
APTV.US,Aptiv,Consumer Discretionary
ACGL.US,Arch Capital Group,Financials
ADM.US,Archer Daniels Midland,Consumer Staples
ARES.US,Ares Management,Financials
ANET.US,Arista Networks,Information Technology
AJG.US,Arthur J. Gallagher & Co.,Financials
AIZ.US,Assurant,Financials
T.US,AT&T,Communication Services
ATO.US,Atmos Energy,Utilities
ADSK.US,Autodesk,Information Technology
ADP.US,Automatic Data Processing,Industrials
AZO.US,AutoZone,Consumer Discretionary
AVB.US,AvalonBay Communities,Real Estate
AVY.US,Avery Dennison,Materials
AXON.US,Axon Enterprise,Industrials
BKR.US,Baker Hughes,Energy
BALL.US,Ball Corporation,Materials
BAC.US,Bank of America,Financials
BAX.US,Baxter International,Health Care
BDX.US,Becton Dickinson,Health Care
BRK-B.US,Berkshire Hathaway,Financials
BBY.US,Best Buy,Consumer Discretionary
TECH.US,Bio-Techne,Health Care
BIIB.US,Biogen,Health Care
BLK.US,BlackRock,Financials
BX.US,Blackstone Inc.,Financials
XYZ.US,"Block, Inc.",Financials
BNY.US,BNY Mellon,Financials
BA.US,Boeing,Industrials
BKNG.US,Booking Holdings,Consumer Discretionary
BSX.US,Boston Scientific,Health Care
BMY.US,Bristol Myers Squibb,Health Care
AVGO.US,Broadcom,Information Technology
BR.US,Broadridge Financial Solutions,Industrials
BRO.US,Brown & Brown,Financials
BF-B.US,Brown–Forman,Consumer Staples
BLDR.US,Builders FirstSource,Industrials
BG.US,Bunge Global,Consumer Staples
BXP.US,"BXP, Inc.",Real Estate
CHRW.US,C.H. Robinson,Industrials
CDNS.US,Cadence Design Systems,Information Technology
CPT.US,Camden Property Trust,Real Estate
COF.US,Capital One,Financials
CAH.US,Cardinal Health,Health Care
CCL.US,Carnival Corporation,Consumer Discretionary
CARR.US,Carrier Global,Industrials
