date,signal_count,active_count,total_count,below_ma50_count,vol_surge_count,big_drop_count,panic_count,union_count,pct,active_pct,breadth_below_ma50,vol_surge_pct,big_drop_pct,panic_pct,union_pct,hsi_close
20140102,0,0,160,84,23,4,3,24,0.0,0.0,52.5,14.374999999999998,2.5,1.875,15.0,23340.05
20140103,0,0,160,106,68,27,16,79,0.0,0.0,66.25,42.5,16.875,10.0,49.375,22817.28
20140106,0,0,160,108,22,25,12,35,0.0,0.0,67.5,13.750000000000002,15.625,7.5,21.875,22684.15
20140107,0,0,160,111,15,8,2,21,0.0,0.0,69.375,9.375,5.0,1.25,13.125,22712.78
20140108,0,0,160,100,21,4,2,23,0.0,0.0,62.5,13.125,2.5,1.25,14.374999999999998,22996.59
20140109,0,0,160,107,17,15,3,29,0.0,0.0,66.875,10.625,9.375,1.875,18.125,22787.33
20140110,0,0,160,105,18,14,4,28,0.0,0.0,65.625,11.25,8.75,2.5,17.5,22846.25
20140113,0,0,160,103,7,4,0,11,0.0,0.0,64.375,4.375,2.5,0.0,6.875000000000001,22888.76
20140114,0,0,160,106,11,7,4,14,0.0,0.0,66.25,6.875000000000001,4.375,2.5,8.75,22791.28
20140115,0,0,160,102,7,4,1,10,0.0,0.0,63.74999999999999,4.375,2.5,0.625,6.25,22902.0
20140116,0,0,160,100,6,8,0,14,0.0,0.0,62.5,3.75,5.0,0.0,8.75,22986.41
20140117,0,0,160,100,17,9,1,25,0.0,0.0,62.5,10.625,5.625,0.625,15.625,23133.35
20140120,0,0,160,104,13,9,3,19,0.0,0.0,65.0,8.125,5.625,1.875,11.875,22928.95
20140121,0,0,160,101,11,5,2,14,0.0,0.0,63.125,6.875000000000001,3.125,1.25,8.75,23033.12
20140122,0,0,160,93,17,11,3,25,0.0,0.0,58.12500000000001,10.625,6.875000000000001,1.875,15.625,23082.25
20140123,0,0,160,101,10,13,3,20,0.0,0.0,63.125,6.25,8.125,1.875,12.5,22733.9
20140124,0,0,160,107,15,25,3,37,0.0,0.0,66.875,9.375,15.625,1.875,23.125,22450.06
20140127,0,0,160,126,32,57,12,77,0.0,0.0,78.75,20.0,35.625,7.5,48.125,21976.1
20140128,0,0,160,128,11,6,3,14,0.0,0.0,80.0,6.875000000000001,3.75,1.875,8.75,21960.64
20140129,0,0,160,122,3,2,0,5,0.0,0.0,76.25,1.875,1.25,0.0,3.125,22141.61
20140130,0,0,160,127,2,12,1,13,0.0,0.0,79.375,1.25,7.5,0.625,8.125,22035.42
20140204,0,0,160,139,13,69,9,73,0.0,0.0,86.875,8.125,43.125,5.625,45.625,21397.77
20140205,0,0,160,140,7,12,2,17,0.0,0.0,87.5,4.375,7.5,1.25,10.625,21269.38
20140206,0,0,160,135,11,7,4,14,0.0,0.0,84.375,6.875000000000001,4.375,2.5,8.75,21423.13
20140207,0,0,160,125,11,2,1,12,0.0,0.0,78.125,6.875000000000001,1.25,0.625,7.5,21636.85
20140210,0,0,160,124,7,0,0,7,0.0,0.0,77.5,4.375,0.0,0.0,4.375,21579.26
20140211,0,0,160,120,14,1,0,15,0.0,0.0,75.0,8.75,0.625,0.0,9.375,21962.98
20140212,0,0,160,107,21,0,0,21,0.0,0.0,66.875,13.125,0.0,0.0,13.125,22285.79
20140213,0,0,160,113,10,8,2,16,0.0,0.0,70.625,6.25,5.0,1.25,10.0,22165.53
20140214,0,0,160,110,5,4,0,9,0.0,0.0,68.75,3.125,2.5,0.0,5.625,22298.41
20140217,0,0,160,101,12,7,0,19,0.0,0.0,63.125,7.5,4.375,0.0,11.875,22535.94
20140218,0,0,160,101,5,7,2,10,0.0,0.0,63.125,3.125,4.375,1.25,6.25,22587.72
20140219,1,1,160,98,11,5,2,14,0.625,0.625,61.25000000000001,6.875000000000001,3.125,1.25,8.75,22664.52
20140220,1,1,160,105,22,14,4,32,0.625,0.625,65.625,13.750000000000002,8.75,2.5,20.0,22394.08
20140221,0,1,160,100,12,5,0,17,0.0,0.625,62.5,7.5,3.125,0.0,10.625,22568.24
20140224,0,1,160,107,15,20,9,26,0.0,0.625,66.875,9.375,12.5,5.625,16.25,22388.56
20140225,1,1,160,99,17,13,3,27,0.625,0.625,61.875,10.625,8.125,1.875,16.875,22317.2
20140226,1,1,160,101,23,1,1,23,0.625,0.625,63.125,14.374999999999998,0.625,0.625,14.374999999999998,22437.44
20140227,1,1,160,91,13,4,1,16,0.625,0.625,56.875,8.125,2.5,0.625,10.0,22828.18
20140228,0,1,160,88,16,2,0,18,0.0,0.625,55.00000000000001,10.0,1.25,0.0,11.25,22836.96
20140303,0,1,160,88,7,13,0,20,0.0,0.625,55.00000000000001,4.375,8.125,0.0,12.5,22500.67
20140304,0,0,160,92,8,1,0,9,0.0,0.0,57.49999999999999,5.0,0.625,0.0,5.625,22657.63
20140305,0,0,160,97,10,8,2,16,0.0,0.0,60.62499999999999,6.25,5.0,1.25,10.0,22579.78
20140306,0,0,160,95,12,5,1,16,0.0,0.0,59.375,7.5,3.125,0.625,10.0,22702.97
20140307,0,0,160,92,15,6,2,19,0.0,0.0,57.49999999999999,9.375,3.75,1.25,11.875,22660.49
20140310,0,0,160,107,16,32,7,41,0.0,0.0,66.875,10.0,20.0,4.375,25.624999999999996,22264.93
20140311,0,0,160,103,2,2,0,4,0.0,0.0,64.375,1.25,1.25,0.0,2.5,22269.61
20140312,0,0,160,109,18,33,6,45,0.0,0.0,68.125,11.25,20.625,3.75,28.125,21901.95
20140313,0,0,161,111,11,15,3,23,0.0,0.0,68.94409937888199,6.832298136645963,9.316770186335404,1.8633540372670807,14.285714285714285,21756.08
20140314,1,1,161,118,19,27,9,37,0.6211180124223602,0.6211180124223602,73.29192546583852,11.801242236024844,16.77018633540373,5.590062111801243,22.981366459627328,21539.49
20140317,0,1,161,120,3,11,1,13,0.0,0.6211180124223602,74.53416149068323,1.8633540372670807,6.832298136645963,0.6211180124223602,8.074534161490684,21473.95
20140318,0,1,161,110,11,5,1,15,0.0,0.6211180124223602,68.32298136645963,6.832298136645963,3.1055900621118013,0.6211180124223602,9.316770186335404,21583.5
20140319,0,0,161,112,10,8,0,18,0.0,0.0,69.56521739130434,6.211180124223603,4.968944099378882,0.0,11.180124223602485,21568.69
20140320,0,0,161,119,13,17,3,27,0.0,0.0,73.91304347826086,8.074534161490684,10.559006211180124,1.8633540372670807,16.77018633540373,21182.16
20140321,0,0,161,115,38,13,7,44,0.0,0.0,71.42857142857143,23.60248447204969,8.074534161490684,4.3478260869565215,27.32919254658385,21436.7
20140324,0,0,161,107,10,6,1,15,0.0,0.0,66.45962732919256,6.211180124223603,3.7267080745341614,0.6211180124223602,9.316770186335404,21846.45
20140325,0,0,161,106,10,24,4,30,0.0,0.0,65.83850931677019,6.211180124223603,14.906832298136646,2.484472049689441,18.633540372670808,21732.32
20140326,0,0,161,96,15,12,5,22,0.0,0.0,59.62732919254658,9.316770186335404,7.453416149068323,3.1055900621118013,13.664596273291925,21887.75
20140327,0,0,161,99,16,27,10,33,0.0,0.0,61.49068322981367,9.937888198757763,16.77018633540373,6.211180124223603,20.496894409937887,21834.45
20140328,0,0,161,88,9,5,1,13,0.0,0.0,54.6583850931677,5.590062111801243,3.1055900621118013,0.6211180124223602,8.074534161490684,22065.53
20140331,0,0,161,77,9,10,3,16,0.0,0.0,47.82608695652174,5.590062111801243,6.211180124223603,1.8633540372670807,9.937888198757763,22151.06
20140401,0,0,161,64,6,4,1,9,0.0,0.0,39.75155279503105,3.7267080745341614,2.484472049689441,0.6211180124223602,5.590062111801243,22448.54
20140402,0,0,161,61,13,3,0,16,0.0,0.0,37.88819875776397,8.074534161490684,1.8633540372670807,0.0,9.937888198757763,22523.94
20140403,0,0,161,56,12,12,2,22,0.0,0.0,34.78260869565217,7.453416149068323,7.453416149068323,1.2422360248447204,13.664596273291925,22565.08
20140404,0,0,161,61,3,10,1,12,0.0,0.0,37.88819875776397,1.8633540372670807,6.211180124223603,0.6211180124223602,7.453416149068323,22510.08
20140407,0,0,161,60,5,23,1,27,0.0,0.0,37.267080745341616,3.1055900621118013,14.285714285714285,0.6211180124223602,16.77018633540373,22377.15
20140408,0,0,161,56,13,3,2,14,0.0,0.0,34.78260869565217,8.074534161490684,1.8633540372670807,1.2422360248447204,8.695652173913043,22596.97
20140409,0,0,161,51,13,4,2,15,0.0,0.0,31.67701863354037,8.074534161490684,2.484472049689441,1.2422360248447204,9.316770186335404,22843.17
20140410,0,0,161,36,47,4,4,47,0.0,0.0,22.36024844720497,29.19254658385093,2.484472049689441,2.484472049689441,29.19254658385093,23186.96
20140411,0,0,161,53,29,33,10,52,0.0,0.0,32.91925465838509,18.012422360248447,20.496894409937887,6.211180124223603,32.298136645962735,23003.64
20140414,0,0,161,53,8,14,2,20,0.0,0.0,32.91925465838509,4.968944099378882,8.695652173913043,1.2422360248447204,12.422360248447205,23038.8
20140415,0,0,161,67,8,37,1,44,0.0,0.0,41.61490683229814,4.968944099378882,22.981366459627328,0.6211180124223602,27.32919254658385,22671.26
20140416,1,1,161,59,1,2,0,3,0.6211180124223602,0.6211180124223602,36.64596273291926,0.6211180124223602,1.2422360248447204,0.0,1.8633540372670807,22696.01
