date,top_signal_count,active_top_count,total_count,below_ma50_count,vol_surge_count,big_up_count,union_up_count,sky_vol_count,vol_price_div_count,dist_top_count,shrink_new_high_count,top_pct,active_top_pct,breadth_below_ma50,vol_surge_pct,big_up_pct,union_up_pct,sky_vol_pct,vol_price_div_pct,dist_top_pct,shrink_new_high_pct,hsi_close
20140102,0,0,160,84,23,21,33,0,0,1,16,0.0,0.0,52.5,14.374999999999998,13.125,20.625,0.0,0.0,0.625,10.0,23340.05
20140103,0,0,160,106,68,3,69,0,0,0,6,0.0,0.0,66.25,42.5,1.875,43.125,0.0,0.0,0.0,3.75,22817.28
20140106,0,0,160,108,22,3,23,1,0,1,4,0.0,0.0,67.5,13.750000000000002,1.875,14.374999999999998,0.625,0.0,0.625,2.5,22684.15
20140107,0,0,160,111,15,17,26,0,0,0,7,0.0,0.0,69.375,9.375,10.625,16.25,0.0,0.0,0.0,4.375,22712.78
20140108,0,0,160,100,21,21,37,0,0,5,6,0.0,0.0,62.5,13.125,13.125,23.125,0.0,0.0,3.125,3.75,22996.59
20140109,1,1,160,107,17,7,21,0,0,5,6,0.625,0.625,66.875,10.625,4.375,13.125,0.0,0.0,3.125,3.75,22787.33
20140110,0,1,160,105,18,8,21,0,0,2,3,0.0,0.625,65.625,11.25,5.0,13.125,0.0,0.0,1.25,1.875,22846.25
20140113,0,1,160,103,7,11,13,0,0,6,5,0.0,0.625,64.375,4.375,6.875000000000001,8.125,0.0,0.0,3.75,3.125,22888.76
20140114,0,1,160,106,11,3,12,1,0,4,4,0.0,0.625,66.25,6.875000000000001,1.875,7.5,0.625,0.0,2.5,2.5,22791.28
20140115,0,1,160,102,7,14,19,0,1,3,6,0.0,0.625,63.74999999999999,4.375,8.75,11.875,0.0,0.625,1.875,3.75,22902.0
20140116,0,0,160,100,6,12,15,0,0,1,7,0.0,0.0,62.5,3.75,7.5,9.375,0.0,0.0,0.625,4.375,22986.41
20140117,0,0,160,100,17,14,28,0,0,4,5,0.0,0.0,62.5,10.625,8.75,17.5,0.0,0.0,2.5,3.125,23133.35
20140120,0,0,160,104,13,6,16,1,0,3,3,0.0,0.0,65.0,8.125,3.75,10.0,0.625,0.0,1.875,1.875,22928.95
20140121,0,0,160,101,11,11,20,0,0,4,5,0.0,0.0,63.125,6.875000000000001,6.875000000000001,12.5,0.0,0.0,2.5,3.125,23033.12
20140122,0,0,160,93,17,13,27,0,0,4,1,0.0,0.0,58.12500000000001,10.625,8.125,16.875,0.0,0.0,2.5,0.625,23082.25
20140123,0,0,160,101,10,5,14,0,0,5,3,0.0,0.0,63.125,6.25,3.125,8.75,0.0,0.0,3.125,1.875,22733.9
20140124,0,0,160,107,15,3,16,1,0,6,0,0.0,0.0,66.875,9.375,1.875,10.0,0.625,0.0,3.75,0.0,22450.06
20140127,0,0,160,126,32,4,34,0,0,5,2,0.0,0.0,78.75,20.0,2.5,21.25,0.0,0.0,3.125,1.25,21976.1
20140128,0,0,160,128,11,10,18,0,0,6,2,0.0,0.0,80.0,6.875000000000001,6.25,11.25,0.0,0.0,3.75,1.25,21960.64
20140129,0,0,160,122,3,20,23,0,0,4,1,0.0,0.0,76.25,1.875,12.5,14.374999999999998,0.0,0.0,2.5,0.625,22141.61
